aisp,nome
2,Catete
2,Cosme Velho
2,Flamengo
2,Glória
2,Laranjeiras
2,Botafogo
2,Humaitá
2,Urca
3,Cachambi
3,Méier 
3,Abolição
3,Encantado
3,Piedade
3,Pilares
3,Engenho Novo
3,Jacaré
3,Jacarezinho
3,Riachuelo
3,Rocha
3,Sampaio
3,São Francisco Xavier
3,Água Santa
3,Engenho de Dentro
3,Lins de Vasconcelos
3,Todos os Santos
3,Del Castilho
3,Engenho da Rainha
3,Inhaúma
3,Maria da Graça
3,Tomás Coelho
4,Catumbi
4,Cidade Nova
4,Estácio
4,Rio Comprido
4,Centro (parte)
4,Caju
4,Mangueira
4,São Cristóvão
4,Vasco da Gama
4,Maracanã
4,Praça da Bandeira
4,Tijuca (parte)
5,Centro (Parte)
5,Gamboa
5,Santo Cristo
5,Saúde
5,Lapa
5,Paqueta
5,Santa Teresa
6,Alto da Boa Vista
6,Tijuca (Parte)
6,Andaraí
6,Grajaú
6,Vila Isabel
9,Campinho
9,Cascadura
9,Praça Seca
9,Quintino Bocaiúva
9,Vila Valqueire
9,Cavalcanti
9,Engenheiro Leal
9,Madureira
9,Turiaçu
9,Vaz Lobo
9,Bento Ribeiro
9,Marechal Hermes
9,Osvaldo Cruz
9,Coelho Neto
9,Colégio (Parte)
9,Honório Gurgel
9,Rocha Miranda
14,Campo dos Afonsos
14,Deodoro
14,Jardim Sulacap
14,Magalhães Bastos
14,Realengo
14,Vila Militar
14,Bangu
14,Gericinó
14,Padre Miguel
14,Senador Camará
16,Brás de Pina (Parte)
16,Olaria
16,Penha
16,Penha Circular (Parte)
16,Brás de Pina (Parte)
16,Cordovil
16,Jardim América
16,Parada de Lucas
16,Penha Circular (Parte)
16,Vigário Geral
16,Complexo do Alemao
17,Bancários
17,Cacuia
17,Cidade Universitária
17,Cocotá
17,Freguesia
17,Galeão
17,Jardim Carioca
17,Jardim Guanabara
17,Moneró
17,Pitangueiras
17,Portuguesa
17,Praia da Bandeira
17,Ribeira
17,Tauá
17,Zumbi
18,Anil
18,Cidade de Deus
18,Curicica
18,Gardênia Azul
18,Jacarepaguá
18,Taquara
18,Freguesia (Jacarepaguá)
18,Pechincha
18,Tanque
19,Copacabana (Parte)
19,Leme
22,Benfica
22,Bonsucesso
22,Higienópolis
22,Manguinhos
22,Maré
22,Ramos
23,Rocinha
23,Ipanema
23,Leblon
23,Gávea
23,Jardim Botânico
23,Lagoa
23,São Conrado
23,Vidigal
27,Paciência
27,Santa Cruz
27,Guaratiba
27,Pedra de Guaratiba
27,Sepetiba
31,Barra da Tijuca
31,Itanhangá
31,Joá
31,Recreio dos Bandeirantes
31,Barra de Guaratiba
31,Camorim
31,Grumari
31,Vargem Grande
31,Vargem Pequena
40,Campo Grande
40,Cosmos
40,Inhoaíba
40,Santíssimo
40,Senador Vasconcelos
41,Colégio (Parte)
41,Irajá
41,Vicente de Carvalho
41,Vila Kosmos
41,Vila da Penha
41,Vista Alegre
41,Anchieta
41,Guadalupe
41,Parque Anchieta
41,Ricardo de Albuquerque
41,Acari
41,Barros Filho
41,Costa Barros
41,Parque Colúmbia
41,Pavuna